Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
204.00000000000003,326.85,1.0000000000773612,0.0005676470043461133,0.0042196053817414895,0.5722559423884074,0.09809439187226335,1.8283872453723326e-07,0.286411611857653,0.03845061865686403,0.8482412400754289,0.014629006231415375,0.05523974729111657,0.006759715554327299,0.057470265834729785,2.9270735824014953e-06,0.001092669646712559,1.4461915134076478e-08,2.1073262940768488e-13,0.01656071430220236,3.699528364369941e-06
205.50000000000003,326.85,0.9999999998762389,0.0005500586197074815,0.0040332137608920186,0.5724562017896286,0.09800643873148725,1.8291228390093506e-07,0.28650294729238507,0.03845095689361555,0.8485008982642304,0.014633594100932025,0.05527541405283417,0.0064694926780901095,0.05750323786131252,2.922662961509407e-06,0.0010449601011561958,1.3831625748708432e-08,2.0154204954355245e-13,0.01656592945337696,3.5369932840295678e-06
207.00000000000003,326.85,1.0000000001248481,0.0005332221229490525,0.0038549547132606483,0.5726477357873465,0.09792232775070962,1.8300659208258512e-07,0.28659029594855645,0.03845128067058575,0.8487449126611466,0.014637958296143744,0.05530925513228863,0.006191196293212403,0.057540196451783446,2.918423203495604e-06,0.000999277610243418,1.3227962369488903e-08,1.927407215289597e-13,0.01657089045998184,3.3814438461347934e-06
208.5,326.85,0.999999999773368,0.0005171069666695495,0.003684483868579024,0.57283091283733,0.09784189585020077,1.8312188696539e-07,0.2866738267801136,0.038451590575220074,0.8489736605859609,0.014642105072814524,0.05534132796704814,0.005924382596559443,0.057581218787822075,2.914346740189869e-06,0.0009555408644532169,1.2649870500666161e-08,1.84313146095472e-13,0.016575604535203063,3.2325933489950166e-06
210.0,326.85,1.0000000000022438,0.0005016837143096853,0.003521470562736161,0.5730060868133443,0.09776498647218129,1.832584467809806e-07,0.286753702005381,0.038451887173600846,0.8491875005356109,0.014646040434493541,0.05537168692639526,0.005668620425786999,0.05762638894979415,2.9104262091699256e-06,0.0009136714122904163,1.2096331530449689e-08,1.762443584057792e-13,0.01658007862721294,3.090165704192285e-06
211.5,326.85,1.000000000000099,0.0004869240104262733,0.0033655973647908227,0.5731735975035742,0.09769144935318855,1.8341659099221477e-07,0.28683007734041005,0.0384521710110189,0.8493867688160472,0.01464977024247661,0.05540038528761698,0.005423491235608476,0.05767579920777071,2.906654548650031e-06,0.0008735936249679067,1.1566362310561457e-08,1.6851992091989637e-13,0.01658431946922777,2.9538952089841017e-06
213.0,326.85,1.0000000001158653,0.0004728005507330352,0.0032165596139029063,0.5733337710973164,0.09762114030147247,1.8359668112459617e-07,0.28690310222734433,0.03845244261254973,0.8495717837049857,0.01465330006658551,0.05542747277224108,0.005188589037405936,0.05772954871979247,2.903024861016307e-06,0.0008352345824456184,1.1059013953588113e-08,1.611259052546921e-13,0.016588333506359482,2.8235261536365305e-06
214.5,326.85,0.999999998430464,0.00045928705229863294,0.0030740649673284153,0.5734869206604805,0.09755392097987566,1.8379912176659206e-07,0.28697292005726854,0.03845270248362653,0.849742843358327,0.014656635252554688,0.05545299680067607,0.004963520308147102,0.057787744412447745,2.899530469847125e-06,0.0007985240247594752,1.0573371252418707e-08,1.5404888287327455e-13,0.016592126926528183,2.6988125707876394e-06
216.0,326.85,1.0000000000000164,0.0004463582234614737,0.0029378329582706083,0.5736333466014606,0.09748965869372679,1.8402436138829835e-07,0.2870396683881004,0.038452951110618805,0.8499002249301615,0.014659780955047018,0.055477003044877404,0.004747903871904026,0.05785050144410223,2.8961649399530017e-06,0.0007633942877031487,1.0108551932018343e-08,1.4727591344190229e-13,0.016595705674619113,2.579517991770548e-06
217.5,326.85,1.000000001172252,0.0004339897345620213,0.0028075945665828237,0.5737733371235085,0.09742822618491542,1.8427289371124614e-07,0.2871034791561424,0.03845318896139509,0.8500441867715093,0.01466274205092115,0.05549953416369832,0.004541370751798696,0.0579179426384247,2.8929220032138984e-06,0.0007297802112357936,9.663705629853628e-09,1.4079452940644056e-13,0.01659907541165133,2.465414919473861e-06
